strategy,round_trip_cost_bps,net_pnl_usd
S0_BREAKOUT,5,-4639.738599123515
S0_BREAKOUT,10,-9140.738599123515
S0_BREAKOUT,15,-13641.738599123515
S0_BREAKOUT,20,-18142.738599123517
S1_BREAKOUT_VOL,5,-1361.6841273687812
S1_BREAKOUT_VOL,10,-2728.1841273687814
S1_BREAKOUT_VOL,15,-4094.6841273687814
S1_BREAKOUT_VOL,20,-5461.184127368781
S2_BREAKOUT_VOL_ER,5,-925.7028175753392
S2_BREAKOUT_VOL_ER,10,-1864.2028175753392
S2_BREAKOUT_VOL_ER,15,-2802.702817575339
S2_BREAKOUT_VOL_ER,20,-3741.202817575339
S3_BREAKOUT_VOL_ER_VOLUME,5,-704.2433357630275
S3_BREAKOUT_VOL_ER_VOLUME,10,-1420.7433357630275
S3_BREAKOUT_VOL_ER_VOLUME,15,-2137.2433357630275
S3_BREAKOUT_VOL_ER_VOLUME,20,-2853.7433357630275
S4_BREAKOUT_VOL_ER_VOLUME_ETH,5,-663.0284153262471
S4_BREAKOUT_VOL_ER_VOLUME_ETH,10,-1348.528415326247
S4_BREAKOUT_VOL_ER_VOLUME_ETH,15,-2034.028415326247
S4_BREAKOUT_VOL_ER_VOLUME_ETH,20,-2719.5284153262473
MR0_MEAN_REVERSION,5,-2487.853801698832
MR0_MEAN_REVERSION,10,-4989.853801698832
MR0_MEAN_REVERSION,15,-7491.853801698832
MR0_MEAN_REVERSION,20,-9993.853801698831
